nama_species;nama_indonesia
Tachyglossus aculeatus;Nokdiak Moncong Pendek
Zaglossus attenboroughi;Nokdiak Sentani
Zaglossus bartoni;Nokdiak Baliem
Zaglossus bruijnii;Nokdiak Naroten
Micromurexia habbema;Hefa Habema
Micromurexia melanurus;Hefa Ekor-hitam
Micromurexia naso;Hefa Hidung-panjang
Antechinus wilhelmina;Hefa Kecil
Dasyurus albopunctatus;Gumbem Kecil
Dasyurus spartacus;Gumbem Besar
Murexia longicaudata;Kwarau Ekor-panjang
Myoictis melas;Insinsi Pasin
Neophascogale lorentzi;Gumbem Cakar-panjang
Phascolosorex doriae;Gumbem Perut Merah
Phascolosorex dorsalis;Gumbem Garis
Planigale novaeguineae;Gumbem Terkecil
Sminthopsis archeri;Gumbem Pipi Nir Merah
Sminthopsis virginiae;Gumbem Pipi Merah
soodon macrourus;Bandikut Australia
Echymipera clara;Kalubu Urem
Echymipera kalubu;Kalubu Esut
Echymipera rufescens;Kalubu Nambap-Sop
Microperoryctes aplini;Bandikut Arfak
Microperoryctes longicauda;Bandikut Ekor Panjang
Microperoryctes murina;Bandikut Tikus
Peroryctes raffrayana;Bandikut Raffray
Rhynchomeles prattorum;Mabaya Seram
Ailurops melanotis;Bubutu Talaud
Ailurops ursinus;Bubutu Mehmu
Phalanger alexandrae;Kuskus Gebe
Phalanger carmelitae;Kuskus Gunung
Phalanger intercastellanus;Kuskus Selatan
Phalanger gymnotis;Nibilam Guannal
Phalanger orientalis;Kuskus Biasa
Phalanger ornatus;Kuskus Kuso
 Phalanger matabiru;Kuskus Matabiru
Phalanger mimicus;Kuskus Mimika
Phalanger rothschildi;Kuskus Obi
Phalanger sericeus;Kuskus Sutera
Phalanger vestitus;Kuskus Siku Putih
Spilocuscus maculatus;Kuskus Pontai
Spilocuscus papuensis;Kuskus Scham-scham
Spilocuscus rufoniger;Kuskus Bohai
Spilocuscus wilsoni;Kuskus Biak
Strigocuscus celebensis;Nibilam Tembung
Strigocuscus pelengensis;Kuskus Peleng
Dendrolagus dorianus;Kangguru Pohon Ndomea
Dendrolagus goodfellowi;Kangguru Pohon Hias
Dendrolagus inustus;Kangguru Pohon Wakera
Dendrolagus mbaiso;Kangguru Pohon Mbaiso
Dendrolagus stellarum;Kanguru Pohon Seri
Dendrolagus ursinus;Kangguru Pohon Nemena
Dorcopsis hageni;Walabi Lauw-lauw
Dorcopsis luctuosa;Walabi Kelabu
Dorcopsis muelleri;Walabi Esem
Dorcopsulus vanheurni;Walabi Kecil
Macropus agilis;Walabi Saham
Thylogale browni;Pelandu Nugini
Thylogale brunii;Pelandu Aru
Thylogale stigmatica;Pelandu Merah
Cercartetus caudatus;Posum Kerdil
Pseudochirulus canescens;Posum Ekor Kait Dataran
Pseudochirulus caroli;Posum Sagane
Pseudochirulus mayeri;Posum Paluga
Pseudochirulus schlegeli;Posum Ekor Kait Arfak
Pseudochirops albertisii;Mandorman Yapen
Pseudochirops corinnae;Mandorman Biasa
Pseudochirops coronatus;Mandorman Ekor Gelang
Pseudochirops cupreus;Mandorman Tembaga
Dactylopsila megalura;Kempelon Ekor Lebat
Dactylopsila palpator;Kempelon Ubum
Dactylopsila trivirgata;Kempelon Ladi
Petaurus biacensis;Wupih Manaf
Petaurus breviceps;Wupih Sirsik
Distoechurus pennatus;Posum Ekor Bulu
