kkID,datasetID,speciesID,id,taxonRank,kingdom,phylum,phyloGroup,phyloGroupSort,taxonClass,taxonOrder,taxonFamily,genus,species,scientificNameAuthorship,taxonomicRemarks_EN-US,taxonomicRemarks_ID,recognitionBasedOn,mainCommonName_EN,otherCommonName_EN,commonNameRemarks_EN,mainCommonName_ID,otherCommonName_ID,commonNameRemarks_ID,typeVoucher,verbatimTypeLocality,typeLocality,typeLocalityLatitude,typeLocalityLongitude,typeLocalityElevationInMeters,typeLocalityDepthInMeters,originalNameAsDescribed,synonymsWithAuthorYears,countryDistribution,biogeographicRegion,distributionStatus,nativeLocalDistribution_ID,introducedLocalDistribution_ID,distributionRemarks_EN-US,distributionRemarks_ID,keyMeasurements,keyCharacters_EN-US,keyCharacters_ID,characterRemarks_EN-US,characterRemarks_ID,habitatRemarks_EN-US,habitatRemarks_ID,additionalRemarks_EN-US,additionalRemarks_ID,iucnStatus,citesStatus,countryStatus,countryStatusReference,symbionts,symbiontRemarks_EN-US,symbiontRemarks_ID,referenceURIs,externalTaxonIdentifiers,externalURIs,associatedData,externalAssociatedDataURIs,contributorNameOrcid,datasetNames
405,1,,,species,Animalia,Chordata,Monotremata,1,Mammalia,Monotremata,Tachyglossidae,Tachyglossus,Tachyglossus aculeatus,"(Shaw, 1792)",,,,Short-beaked Echidna,Australian Echidna|Short-nosed Echidna|Spiny Anteater|Bristly Echidna|Kangaroo Island Echidna,,,,,,"“New Holland [= Sydney]”, New South Wales, Australia.",,,,,,Myrmecophaga aculeata,,Australian Echidna;Short-nosed Echidna;Spiny Anteater;Bristly Echidna;Kangaroo Island Echidna,,,,,,,,,,,,,,,,LC,,,,,,,,mdd:1000002,,,,,Metatheria
405,1,,,species,Animalia,Chordata,Monotremata,1,Mammalia,Monotremata,Tachyglossidae,Zaglossus,Zaglossus attenboroughi,"Flannery & Groves, 1998",,,,Attenborough's Long-beaked Echidna,Attenborough's Echidna|Attenborough's Long-nosed Echidna|Cyclops Long-beaked Echidna|Cyclops Long-nosed Echidna|Sir David's Long-beaked Echidna|Sir David's Long-nosed Echidna,,,,,"RMNH.MAM.17301.a, RMNH.MAM.17301.b","“‘Oost-top, Berg Rara, 1600 m,’ Cyclops Mountains, Dutch New Guinea [= Irian Jaya, New Guinea, Indonesia].”",,,,,,Zaglossus attenboroughi,,Attenborough's Echidna;Attenborough's Long-nosed Echidna;Cyclops Long-beaked Echidna;Cyclops Long-nosed Echidna;Sir David's Long-beaked Echidna;Sir David's Long-nosed Echidna,,,,,,,,,,,,,,,,CR,,,,,,,,mdd:1000003,,,,,Metatheria
405,1,,,species,Animalia,Chordata,Monotremata,1,Mammalia,Monotremata,Tachyglossidae,Zaglossus,Zaglossus bartoni,"(Thomas, 1907)",,,,Eastern Long-beaked Echidna,Barton's Long-beaked Echidna,,,,,BMNH:Mamm:1907.7.17.5,"“Mount Victoria, British New Guinea [= Albert Edward Range, Papua New Guinea]”, alt 8000 ft [= 2438 m].",,,,,,Acanthoglossus Bruijnii Bartoni,,Barton's Long-beaked Echidna,,,,,,,,,,,,,,,,VU,,,,,,,,mdd:1000004,,,,,Metatheria
405,1,,,species,Animalia,Chordata,Monotremata,1,Mammalia,Monotremata,Tachyglossidae,Zaglossus,Zaglossus bruijnii,"(Peters & Doria, 1876)",,,,Western Long-beaked Echidna,Long-beaked Echidna|Long-nosed Echidna|Long-nosed Spiny Anteater|New Guinea Long-nosed Echidna,,,,,MSNG CE 1623,"“Mons Arfak, Nova Guinea sept [= Arfak Mountains, Manokwari Division, Vogelkop Peninsula, Irian Jaya, Indonesia].”",,,,,,Tachyglossus bruijnii,,Long-beaked Echidna;Long-nosed Echidna;Long-nosed Spiny Anteater;New Guinea Long-nosed Echidna,,,,,,,,,,,,,,,,CR,,,,,,,,mdd:1000005,,,,,Metatheria
405,1,,,species,Animalia,Chordata,"Dasyuromorphia, Peramelemorphia, Diprotodontia",2,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,Dasyurus albopunctatus,"Schlegel, 1880",,,,New Guinea Quoll,,,,,,"RMNH.MAM.37157.a, RMNH.MAM.37157.b","Arfak Mtns, Sapoea, Manokwari Div., Vogelkop, Prov. of Papua (= Irian Jaya), New Guinea, Indonesia.",,,,,,Dasyurus albopunctatus,,,,,,,,,,,,,,,,,,NT,,,,,,,,mdd:1000147,,,,,Metatheria
405,1,,,species,Animalia,Chordata,"Dasyuromorphia, Peramelemorphia, Diprotodontia",2,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,Dasyurus spartacus,"Van Dyck, 1988",,,,Bronze Quoll,,,,,,PNGM 22000,"Marehead, 8° 41' S, 141° 39' E, Trans-Fly Plains, Papua New Guinea.",,-8.68333,141.65,,,Dasyurus spartacus,,,,,,,,,,,,,,,,,,NT,,,,,,,,mdd:1000151,,,,,Metatheria
405,1,,,species,Animalia,Chordata,"Dasyuromorphia, Peramelemorphia, Diprotodontia",2,Mammalia,Dasyuromorphia,Dasyuridae,Myoictis,Myoictis melas,"(Müller in Temminck, 1840)",,,,Müller's Three-striped Dasyure,Three-striped Marsupial Mouse,,,,,"RMNH.MAM.25750.a, RMNH.MAM.25750.b","""Nieuw-Guinea, in de triton's baai (op 3° 39' Z. breedte),"" Mt. Lamantsjieri, near Triton Bay, Lobo District, Fakfak Division, Prov. of Papua (= Irian Jaya), Indonesia.",,-3.75,134.08333333333334,,,Phascogale melas,,Three-striped Marsupial Mouse,,,,,,,,,,,,,,,,LC,,,,,,,,mdd:1000154,,,,,Metatheria
405,1,,,species,Animalia,Chordata,"Dasyuromorphia, Peramelemorphia, Diprotodontia",2,Mammalia,Dasyuromorphia,Dasyuridae,Myoictis,Myoictis wallacii,"Gray, 1858",,,,Wallace's Three-striped Dasyure,Wallace's Dasyure,,,,,BMNH:Mamm:1858.2.20.1,"""Aru Island,"" New Guinea.",,,,,,Myoictis Wallacii,,Wallace's Dasyure,,,,,,,,,,,,,,,,LC (as Myoictis wallacei),,,,,,,,mdd:1000155,,,,,Metatheria
405,1,,,species,Animalia,Chordata,"Dasyuromorphia, Peramelemorphia, Diprotodontia",2,Mammalia,Dasyuromorphia,Dasyuridae,Neophascogale,Neophascogale lorentzii,"(Jentink, 1911)",,,,Speckled Dasyure,Long-clawed Marsupial Mouse,,,,,"RMNH.MAM.36163.a, RMNH.MAM.36163.b, RMNH.MAM.36163.c","Helwig Mtns, south of Mt. Wilhelmina, 2600 m, Djajawidjaja (= Jayawijaya) Division, Prov. of Papua (= Irian Jaya), New Guinea, Indonesia.",,,,,,Phascogale Lorentzii,,Long-clawed Marsupial Mouse,,,,,,,,,,,,,,,,LC,,,,,,,,mdd:1000157,,,,,Metatheria
405,1,,,species,Animalia,Chordata,"Dasyuromorphia, Peramelemorphia, Diprotodontia",2,Mammalia,Dasyuromorphia,Dasyuridae,Phascolosorex,Phascolosorex doriae,"(Thomas, 1886)",,,,Red-bellied Phascogale,Red-bellied Dasyure|Red-bellied Marsupial Shrew,,,,,"MSNG CE 589, MSNG CE 3907","Arfak Mtns, Mori, Manokwari Div., Vogelkop, Prov. of Papua (= Irian Jaya), New Guinea, Indonesia.",,,,,,Phascologale doriae,,Red-bellied Dasyure;Red-bellied Marsupial Shrew,,,,,,,,,,,,,,,,LC,,,,,,,,mdd:1000159,,,,,Metatheria
405,1,,,species,Animalia,Chordata,"Dasyuromorphia, Peramelemorphia, Diprotodontia",2,Mammalia,Dasyuromorphia,Dasyuridae,Phascolosorex,Phascolosorex dorsalis,"(Peters & Doria, 1876)",,,,Narrow-striped Dasyure,Narrow-striped Marsupial Shrew,,,,,MSNG CE 3916,"Arfak Mtns, Hatam, Manokwari Div., Vogelkop, Prov. of Papua (= Irian Jaya), New Guinea, Indonesia.",,,,,,Phascologale dorsalis,,Narrow-striped Marsupial Shrew,,,,,,,,,,,,,,,,LC,,,,,,,,mdd:1000160,,,,,Metatheria
405,1,,,species,Animalia,Chordata,"Dasyuromorphia, Peramelemorphia, Diprotodontia",2,Mammalia,Dasyuromorphia,Dasyuridae,Murexia,Murexia aspera,"(Thomas, 1913)",,,,Southern Short-furred Dasyure,,,,,,BMNH:Mamm:1913.6.18.90,"Camp No. 3, Utakwa River, Netherlands New Guinea, 2,500 ft.",,-4.4,137.2,,,Phascogale murex aspera,,,,,,,,,,,,,,,,,,NE,,,,,,,,mdd:1006753,,,,,Metatheria
